word,level,meaning,sentence
abide,6,遵守,You must abide by the rules of the game.
aboriginal,6,原住民的,The Aboriginal people have lived here for thousands of years.
abstraction,6,心不在焉／抽象概念,The idea is too much of an abstraction for young children.
abundance,6,豐富,There is an abundance of fresh fruit in summer.
accessory,6,附件,This scarf is a useful accessory for winter.
acclaim,6,歡呼；歡呼聲,The film won critical acclaim around the world.
closure,6,關閉,The closure of the factory left many people jobless.,
coalition,6,聯合,The two parties formed a coalition government.,
coastline,6,海岸線,The country has a long and beautiful coastline.,
collision,6,衝突,The collision between the two cars caused serious damage.,
comet,6,彗星,A comet appeared in the night sky.,
commonplace,6,平凡的,Such mistakes are commonplace among beginners.,
communicative,6,愛說話的,She is a friendly and communicative person.,
comparative,6,相比而言的,The comparative study showed clear differences.,
compass,6,指南針；圓規,He used a compass to find the direction.,
compile,6,編纂,They compiled a list of all the students.,
complement,6,補足物,This wine is a perfect complement to the meal.,
complexion,6,氣色,Her complexion looks healthy and bright.,
comprehensive,6,廣泛的,The report gives a comprehensive analysis of the problem.,
compute,6,估算；推算,The computer can compute the result quickly.,
computerize,6,使電腦化,The company decided to computerize its records.,
comrade,6,同伴,He fought alongside his comrades in the war.,
concession,6,讓步,Both sides made concessions to reach an agreement.,
concise,6,簡潔的,Please give a concise answer.,
condense,6,使凝結(濃縮),You can condense the report into two pages.,
confederation,6,同盟,The tribes formed a confederation for mutual protection.,
conquest,6,征服,The conquest of the city took three months.,
conscientious,6,盡責的,She is a conscientious worker who never misses a deadline.,
consolation,6,慰藉,His kind words were a great consolation to her.,
console,6,安慰,She tried to console the crying child.,
conspiracy,6,陰謀,They were arrested for taking part in a conspiracy.,
contradict,6,否認,He contradicted his earlier statement.,
convene,6,召集,The chairman will convene a meeting tomorrow.,
cosmetic,6,化妝品；美容的,She spends a lot of money on cosmetic products.,
counterpart,6,互相對應的人(物),The minister met his Japanese counterpart.,
coupon,6,優待券,She used a coupon to get a discount.,
courtyard,6,庭院,The children played in the courtyard.,
crackdown,6,取締,The government launched a crackdown on illegal gambling.,
cram,6,填塞,He tried to cram all the books into one bag.,
credible,6,可信的,The witness gave a credible account of the accident.,
crocodile,6,鱷魚,A crocodile was swimming in the river.,
crossing,6,交叉口,Turn left at the next crossing.,
cub,6,幼獸,The lion cub stayed close to its mother.,
cucumber,6,黃瓜,She added cucumber to the salad.,
cultivate,6,耕作；培養,Farmers cultivate the land to grow crops.,
cumulative,6,累積的,The cumulative effect of the drug can be harmful.,
curb,6,抑制,The government took steps to curb inflation.,
curfew,6,宵禁,The city imposed a curfew after the riots.,
curry,6,咖哩食品,We had chicken curry for dinner.,
customary,6,習慣上的,It is customary to shake hands when you meet.,
dazzle,6,使目眩,The bright lights dazzled her eyes.,
deafen,6,使聽不見,The loud music nearly deafened me.,
decisive,6,果斷的,She made a decisive move to end the argument.,
deem,6,視為,The plan was deemed a success.,
defect,6,缺點,The car has a small defect in the engine.,
dental,6,牙齒的；齒音(的),She has a dental appointment this afternoon.,
deplete,6,使枯竭,Overfishing can deplete the ocean's resources.,
deprive,6,剝奪,The war deprived many children of their education.,
descent,6,下降,The plane began its descent into the airport.,
despise,6,藐視,He despised her for being dishonest.,
detach,6,分開,You can detach the keyboard from the screen.,
detain,6,拘留；耽擱,The police detained the suspect for questioning.,
deter,6,制止,The high price deterred many buyers.,
detergent,6,洗潔劑,She used detergent to wash the dishes.,
diabetes,6,糖尿病,He has to watch his diet because of diabetes.,
dictate,6,使聽寫；命令,The teacher dictated a passage to the class.,
dictation,6,聽寫；命令,We had a dictation test today.,
dictator,6,獨裁者,The dictator ruled the country with an iron fist.,
differentiate,6,區分,It is hard to differentiate between the two twins.,
diplomacy,6,外交,Diplomacy is often better than war.,
disable,6,使失去能力,The accident disabled him for life.,
disastrous,6,多災多難的,The expedition was disastrous from the start.,
discard,6,摒棄,Please discard any old newspapers.,
disciple,6,門徒,He was a faithful disciple of the great master.,
disciplinary,6,紀律上的,The school took disciplinary action against the students.,
disclosure,6,揭露,The disclosure of the secret caused a scandal.,
discomfort,6,不舒適,He felt some discomfort after the surgery.,
discreet,6,考慮周到的,She was discreet about her friend's secret.,
dismay,6,使驚慌,The news filled everyone with dismay.,
dispensable,6,可有可無的,This old chair is dispensable.,
disposable,6,可丟棄的,They used disposable cups at the party.,
disposal,6,處理；配置,The safe disposal of waste is important.,
dispose,6,處理；配置,Please dispose of your trash properly.,
distress,6,悲痛,The loss of her pet caused her great distress.,
diversify,6,使多樣化,The company decided to diversify its products.,
diversion,6,轉換,The road diversion took us through a small town.,
dividend,6,股息,The company paid a generous dividend to its shareholders.,
doom,6,厄運；注定,The plan was doomed to fail from the beginning.,
dormitory/dorm,6,學生宿舍,He lives in a university dormitory.,
doze,6,打瞌睡,He began to doze in front of the TV.,
drastic,6,激烈的,The company had to take drastic measures to survive.,
draught,6,草圖；草擬,The architect showed us the first draught of the building.,
dual,6,由兩部分構成的,The car has a dual purpose: family and work.,
dubious,6,覺得可疑的,I felt dubious about his strange offer.,
duration,6,持續,The duration of the flight is about three hours.,
dwarf,6,侏儒；矮小的,The dwarf stood no taller than a child.,
eccentric,6,古怪的(人),The eccentric old man talked to his cat.,
eclipse,6,日、月)蝕,We watched the solar eclipse through special glasses.,
edible,6,可食的；食用的,Are these mushrooms edible?,
editorial,6,社論,The newspaper published an editorial about the new law.,
electrician,6,電工；電氣技師,The electrician fixed the broken wires.,
elevate,6,使提高,The platform was elevated above the ground.,
emigrant,6,移民,The emigrant left his country to find a better life.,
encyclopedia,6,百科全書,She looked up the word in an encyclopedia.,
endowment,6,天資,He has a natural endowment for music.,
endurance,6,耐力,Running a marathon requires great endurance.,
enhance(ment),6,增加,The new paint enhanced the beauty of the room.,
enlighten(ment),6,敵發,The book enlightened me about many things.,
enrich(ment),6,使富裕,Travel can enrich your life in many ways.,
enroll(ment),6,使加入；註冊,She decided to enroll in a French class.,
escort,6,護衛(者),The police escorted the witness to the court.,
esteem,6,尊敬,We hold our teacher in high esteem.,
evergreen,6,常青樹(的),The pine is an evergreen tree.,
evoke,6,喚起,The song evoked memories of my childhood.,
examinee,6,應試者,Each examinee must bring a pencil.,
examiner,6,主考人；審查員,The examiner asked me several questions.,
excel,6,擅長,She excels in both math and science.,
exempt,6,豁免(的)；被免除義務者,He is exempt from military service.,
expire,6,期滿,My passport will expire next year.,
extract,6,拔出；摘錄,The dentist had to extract the bad tooth.,
extracurricular,6,課外的,She takes part in many extracurricular activities.,
eyesight,6,視力,His eyesight has gotten worse over the years.,
fable,6,寓言；虛構的故事,The story of the tortoise and the hare is a fable.,
fertilizer,6,肥料；促進發展者,The farmer spread fertilizer on the field.,
fragrance,6,芬芳,The fragrance of flowers filled the room.,
freeway,6,高速公路,We drove along the freeway for two hours.,
gauge,6,標準度量,The gauge shows the amount of fuel left.,
geographical,6,地理學的,The geographical features of the area are varied.,
geometry,6,幾何學,Geometry is my favorite math class.,
glamour,6,魅力,The glamour of the movie star attracted many fans.,
gleam,6,一絲光線,A gleam of light came through the window.,
glide,6,滑行,The skater began to glide across the ice.,
glitter,6,閃爍,The gold glittered in the sunlight.,
goalkeeper,6,守門員,The goalkeeper saved the penalty kick.,
gospel,6,主義,He spread the gospel of peace and love.,
grapefruit,6,葡萄柚,She had a grapefruit for breakfast.,
grease,6,油脂,The mechanic removed the grease from his hands.,
groan,6,呻吟,He let out a groan of pain.,
grumble,6,發怨言,The workers began to grumble about the long hours.,
hail,6,歡迎,The crowd hailed the returning hero.,
handicap,6,障礙；不利條件,His lack of experience is a serious handicap.,
harden,6,使變硬；使堅強,The cold weather hardened the ground.,
harness,6,馬具,The horse was fitted with a leather harness.,
hedge,6,樹籬,They planted a hedge around the garden.,
heighten,6,增高,The music helped heighten the tension in the scene.,
heroin,6,海洛英,Heroin is a dangerous and illegal drug.,
heterosexual,6,異性戀的,The survey asked about heterosexual and homosexual relationships.,
hierarchy,6,階級組織,The company has a strict hierarchy.,
hijack,6,劫取,The terrorists tried to hijack the plane.,
homosexual,6,同性戀,The novel tells the story of a homosexual couple.,
hospitable,6,好客的,The local people were very hospitable to us.,
hostel,6,旅舍,We stayed at a cheap hostel during our trip.,
humiliate,6,屈辱,He felt humiliated when he was criticized in public.,
hygiene,6,衛生,Good hygiene is important to prevent disease.,
hypocrite,6,偽君子,He is a hypocrite who says one thing and does another.,
iceberg,6,冰山,Only the tip of the iceberg is visible.,
illuminate,6,照亮,The streetlights illuminate the road at night.,
imminent,6,逼近的,"The storm is imminent, so we should stay inside.",
imperial,6,帝國的,The imperial palace is a major tourist attraction.,
implicit,6,暗示的,There was an implicit warning in his words.,
imposing,6,氣勢雄偉的,The imposing building dominated the skyline.,
imprison(ment),6,監禁,He was sentenced to life imprisonment.,
incur,6,招致,His careless remarks incurred the anger of his boss.,
indifference,6,不關心,She showed complete indifference to his feelings.,
indignant,6,憤慨的,He was indignant about the unfair treatment.,
industrialize,6,使工業化,The country began to industrialize in the 19th century.,
infer,6,推斷,"From his tone, I inferred that he was angry.",
inflict,6,予以(打擊等),The storm inflicted heavy damage on the town.,
inhabitant,6,居民,The island has only a few hundred inhabitants.,
injustice,6,不公正,He fought against social injustice.,
intellect,6,理解力,She has a sharp intellect.,
interpreter,6,口譯者,The interpreter translated for the foreign guests.,
intersection,6,橫切,Turn right at the next intersection.,
intimidate,6,脅迫,They tried to intimidate the witness.,
intonation,6,語調,Her intonation showed that she was surprised.,
intrigue,6,密謀；陰謀,The court was full of intrigue and betrayal.,
ironic,6,諷剌的,It is ironic that he became a teacher after failing school.,
irritable,6,急躁的,He is often irritable when he is tired.,
irritate,6,激怒,The smoke irritated my eyes.,
itch,6,發癢,My skin began to itch after the insect bite.,
jasmine,6,茉莉,The jasmine flowers smelled sweet.,
joyous,6,快樂的,The joyous children ran happily in the park.,
junction,6,連接,The accident happened at a busy junction.,
knowledgeable,6,博識的,He is a knowledgeable professor.,
lad,6,少年,The lad helped the old man cross the street.,
landlady,6,女房束,The landlady collected the rent every month.,
landslide,6,山崩,The heavy rain caused a landslide.,
latitude,6,緯度,The latitude of this city is about 25 degrees north.,
layman,6,門外漢,He explained the theory in simple terms for the layman.,
lease,6,租約,They signed a two-year lease for the apartment.,
lengthy,6,冗長的,The meeting was lengthy and boring.,
lesbian,6,女同性戀者,The film tells the story of a lesbian couple.,
liberate,6,解放,The soldiers liberated the prisoners.,
liberation,6,解放,The liberation of the city was celebrated.,
lieutenant,6,陸軍中尉,The lieutenant gave orders to his troops.,
lifelong,6,終生的,She has been a lifelong friend.,
lighten,6,照亮,The lamp lightened the dark room.,
limp,6,跛行,He walked with a limp after the injury.,
linger,6,逗留,The smell of fresh bread lingered in the kitchen.,
literacy,6,識字；讀寫能力,The country has a high literacy rate.,
literate,6,文雅的,She is a highly literate person.,
livestock,6,家畜,The farmer keeps livestock on his land.,
lizard,6,蜥蜴,A lizard ran across the hot rock.,
logo,6,標識；商標,The company's logo is printed on the bag.,
lonesome,6,寂寞的,He felt lonesome after his friends left.,
longevity,6,長壽,Good diet and exercise promote longevity.,
lotion,6,外用藥水；化妝水,She applied lotion to her dry skin.,
lottery,6,獎券；彩票,He won a small prize in the lottery.,
lotus,6,蓮；忘憂樹,The lotus flowers bloomed in the pond.,
loudspeaker,6,揚聲器,The announcement came through the loudspeaker.,
lucrative,6,可獲利的；賺錢的,He started a lucrative business.,
lunar,6,陰曆的；月亮的,The Lunar New Year is an important holiday.,
madam/ma’am,6,夫人；太太；小姐,"May I help you, madam?",
magnify,6,擴大；誇大；誇獎,A microscope can magnify small objects.,
maiden,6,少女,The maiden wore a beautiful white dress.,
mainland,6,大陸,They traveled from the island to the mainland.,
majestic,6,莊嚴的,The majestic mountains rose above the valley.,
majesty,6,威嚴；王權,The queen was treated with great majesty.,
manuscript,6,草稿；手稿,The author sent his manuscript to the publisher.,
marginal,6,空白處的；邊際的,The improvement was only marginal.,
martial,6,軍事的,Martial arts require discipline and strength.,
marvel,6,令人驚奇或驚喜的事物,The Great Wall is a marvel of engineering.,
mastery,6,控制；熟練,He showed complete mastery of the piano.,
medieval,6,中古的；中世紀的,The castle was built in medieval times.,
meditation,6,沉思；冥想,Meditation helps me relax and focus.,
melancholy,6,悲哀；憂鬱,A melancholy mood filled the room.,
mentality,6,智力；心性,He has a positive mentality about life.,
mingle,6,混合,She mingled with the guests at the party.,
miscellaneous,6,各式各樣的,The box was full of miscellaneous items.,
mistress,6,女主人,The mistress of the house greeted us warmly.,
modernization,6,現代化,The modernization of the city took many years.,
modernize,6,使現代化,The company plans to modernize its factories.,
momentum,6,動量；動向,The campaign is gaining momentum.,
monetary,6,貨幣的,The monetary policy affects the economy.,
monotony,6,單調,He hated the monotony of his daily routine.,
monstrous,6,怪物的；恐怖的,The monstrous wave destroyed the village.,
morale,6,士氣,The team's morale was high after the win.,
mortal,6,必死的,All humans are mortal.,
motherhood,6,母性,She found great joy in motherhood.,
motto,6,箴言；座右銘,Our school motto is 'Learn and Serve'.,
mourn,6,悲悼,They mourned the loss of their friend.,
muse,6,繆思女神；詩興,The poet waited for his muse to inspire him.,
mustache,6,鬚,He grew a thick mustache.,
mute,6,沉默的,The boy remained mute throughout the meeting.,
nag,6,不斷地挑剔,She would nag him about his messy room.,
narrate,6,敘述,The actor will narrate the documentary.,
nearsighted,6,近視的,He is nearsighted and needs glasses.,
nickel,6,鎳,The coin is made of nickel.,
notable,6,顯著的,She made a notable contribution to science.,
notorious,6,惡名昭彰的,The criminal was notorious for his cruelty.,
nourish(ment),6,滋養,A balanced diet provides good nourishment.,
nucleus,6,中心；核心,The nucleus is the center of an atom.,
nude,6,裸體的,The artist painted a nude figure.,
nurture,6,養育；教養,Parents should nurture their children with love.,
oasis,6,綠洲,The traveler found an oasis in the desert.,
oath,6,誓約；詛咒,He took an oath to tell the truth.,
offspring,6,後代；後裔,They raised three offspring.,
oppress,6,壓迫；壓制,The government oppressed its people.,
orient,6,使朝向東方,The building is oriented toward the south.,
oriental,6,東方人；東方的,The oriental rug was very expensive.,
ornament,6,裝飾,The Christmas tree was covered with ornaments.,
orphanage,6,孤兒院,He grew up in an orphanage.,
orthodox,6,正統的；傳統的,She follows orthodox religious practices.,
outbreak,6,爆發；發生,The outbreak of the disease was sudden.,
outing,6,遠足,We went on an outing to the beach.,
outlaw,6,罪犯,The outlaw was wanted by the police.,
outnumber,6,比·多,The enemy outnumbered us two to one.,
outrage,6,暴行,The outrage shocked the whole nation.,
outrageous,6,駭人的；暴虐的,The price of the dress was outrageous.,
outset,6,開始,"From the outset, the plan was doomed.",
outskirts,6,邊界；市郊,They live on the outskirts of the city.,
outward,6,外面的；肉體的,He showed no outward sign of emotion.,
outward/outwards,6,外面的；肉體的,The door opens outwards.,
overdo,6,做太多或過份,Don't overdo the exercise at first.,
overhear,6,偷聽；無意中聽到,I overheard them talking about the surprise.,
overlap,6,部分重疊；部分相同,The two subjects overlap in some areas.,
overwork,6,操勞過度,He became sick from overwork.,
oyster,6,牡蠣,Oysters are often served raw.,
paralyze,6,使麻痺；使癱瘓,The accident paralyzed him from the waist down.,
patriot,6,愛國者,The patriot fought for his country's freedom.,
patriotic,6,愛國的,She wrote a patriotic song.,
perch,6,棲木；高而安全的地位,The bird perched on a branch.,
peril,6,危險,The sailors were in great peril.,
perish,6,毀滅；死亡,Many animals perished in the fire.,
persistent,6,堅持的,Her persistent efforts finally paid off.,
petroleum,6,石油,Petroleum is used to make gasoline.,
pharmacy,6,藥房,She went to the pharmacy to buy medicine.,
pianist,6,鋼琴家,The pianist played a beautiful sonata.,
pilgrim,6,朝聖者,The pilgrims traveled to the holy city.,
pimple,6,粉刺；面皰,He has a pimple on his nose.,
plague,6,瘟疫；折磨,The plague killed thousands of people.,
plantation,6,種植園,They work on a coffee plantation.,
playwright,6,劇作家,Shakespeare is a famous playwright.,
plow,6,耕(地),The farmer used a plow to turn the soil.,
pneumonia,6,肺炎,He was hospitalized with pneumonia.,
ponder,6,深思,She pondered the question for a long time.,
pony,6,小馬,The child rode a pony at the fair.,
populate,6,移居於,The region is populated by farmers.,
porter,6,搬行李工人,The porter carried our bags to the room.,
posture,6,姿勢,Good posture is important for your back.,
potent,6,有效力的,The medicine is very potent.,
poultry,6,家禽(肉),She bought some poultry for dinner.,
precedent,6,慣例,The court's decision set a precedent.,
predecessor,6,前輩,His predecessor left big shoes to fill.,
preside,6,主持,The judge presided over the trial.,
preventive,6,預防的,Preventive medicine is better than cure.,
preview,6,預習；預演,We saw a preview of the new movie.,
probe,6,探查,The police are probing the case.,
prohibition,6,禁止,The prohibition of alcohol failed in the US.,
prose,6,散文,He writes both poetry and prose.,
proverb,6,諺語,'Honesty is the best policy' is a proverb.,
provincial,6,省的,The provincial government built a new road.,
psychiatry,6,精神病學,He specializes in psychiatry.,
punctual,6,如期的；準時的,She is always punctual for meetings.,
purity,6,純潔,The purity of the water is tested regularly.,
quake,6,震動,The quake shook the buildings.,
radiate,6,發射,The sun radiates heat and light.,
ratify,6,批准,The treaty was ratified by both countries.,
reckless,6,輕率的,His reckless driving caused the accident.,
reckon,6,推斷,I reckon it will rain tomorrow.,
reconcile,6,調解,They finally reconciled after the argument.,
referendum,6,公民投票,The issue was decided by a referendum.,
refine(ment),6,提煉,The oil is refined before it is used.,
refresh(ment),6,使給予活力,A cool drink will refresh you.,
refreshment(s),6,精神恢復,Refreshments will be served after the meeting.,
rehabilitate,6,使恢復,The program helps rehabilitate drug addicts.,
rehearse,6,詳述；排演,The actors rehearsed the play many times.,
reign,6,君主統治時期,The king's reign lasted forty years.,
rejoice,6,高興,The whole town rejoiced at the good news.,
reminiscent,6,使人憶起…的,The smell was reminiscent of my grandmother's kitchen.,
renowned,6,著名的,He is a renowned scientist.,
resent(ment),6,不滿,She felt resentment toward her boss.,
reside,6,居住,He resides in a small town.,
respective,6,個別的,They went back to their respective homes.,
restoration,6,恢復,The restoration of the old church took years.,
restraint,6,克制,He showed great restraint under pressure.,
retort,6,反駁,She retorted sharply to his criticism.,
retrieve,6,找回,The dog retrieved the ball.,
revive,6,復活,The doctors managed to revive the patient.,
revolve,6,使旋轉,The earth revolves around the sun.,
rigorous,6,嚴密的,The tests are rigorous and demanding.,
rotation,6,旋轉,The rotation of the earth causes day and night.,
royalty,6,皇室成員,The royalty attended the charity event.,
rugged,6,崎嶇的,The rugged terrain made hiking difficult.,
salute,6,行舉手禮,The soldier saluted the flag.,
salvage,6,搶救,They tried to salvage what was left of the ship.,
sanitation,6,衛生設備,Good sanitation is essential for public health.,
savage,6,兇猛的,The savage dog attacked the stranger.,
scorn,6,輕蔑；鄙視,She looked at him with scorn.,
scrape,6,把…括除,He scraped the ice off the windshield.,
scrutiny,6,細查,The plan came under close scrutiny.,
seduce,6,慫恿；引誘,He tried to seduce her with sweet words.,
sermon,6,說教；佈道,The minister gave a long sermon.,
shortcoming,6,缺點,Everyone has their own shortcomings.,
shortsighted,6,近視的,It was a shortsighted decision.,
simplicity,6,樸素,The simplicity of the design impressed everyone.,
simplify,6,使單純,We need to simplify the instructions.,
slash,6,亂砍,He slashed the rope with a knife.,
sloppy,6,馬虎的,His sloppy work caused many errors.,
slum,6,貧民窟,The city has several poor slums.,
smuggle,6,走私,They tried to smuggle goods across the border.,
sneaker(s),6,鬼鬼祟祟做事的人,He wore white sneakers to the party.,
sneeze,6,打噴嚏,She sneezed loudly during the movie.,
socialism,6,社會主義,Socialism is a political and economic system.,
sociology,6,社會學,She majored in sociology.,
solidarity,6,團結,The workers showed solidarity with each other.,
solitary,6,獨居的,He leads a solitary life in the woods.,
solitude,6,孤獨,She enjoyed the solitude of the early morning.,
sovereign,6,元首,The sovereign ruled the kingdom.,
sparrow,6,麻雀,A sparrow landed on the fence.,
spontaneous,6,自發的,The audience gave a spontaneous applause.,
sportsman/sportswoman,6,運動員,He is a true sportsman.,
spur,6,馬刺；激勵,The news spurred him to work harder.,
stagger,6,蹣跚,He staggered home after the long walk.,
staple,6,釘書針；主要的,Rice is a staple food in many countries.,
statesman,6,政治家,He was a respected statesman.,
stationary,6,靜止的,The car remained stationary at the red light.,
stationery,6,文具,She bought some stationery for school.,
stature,6,高水平；身材,He is a man of great stature.,
statute,6,法令,The new statute will take effect next month.,
stepchild,6,妻與前夫(或夫與前妻)所生的孩子,He treats his stepchild with love.,
stimulation,6,刺激,The brain needs constant stimulation.,
stride,6,邁大步走,He walked with long strides.,
subjective,6,主觀的,Art criticism is often subjective.,
subscribe,6,訂購,I subscribe to several magazines.,
successive,6,連續的,It rained for three successive days.,
suffocate,6,使)窒息而死,The smoke almost suffocated him.,
suitcase,6,手提箱,She packed her suitcase for the trip.,
summon,6,召喚,The king summoned his advisors.,
superficial,6,表面(皮)的,His knowledge of the subject is superficial.,
superintendent,6,監護人；警長,The superintendent manages the school district.,
superiority,6,優越,He has a sense of superiority over others.,
superstitious,6,迷信的,She is superstitious about black cats.,
supplement,6,補充,He takes a vitamin supplement every day.,
suppress,6,鎮壓,The government tried to suppress the protests.,
surge,6,洶湧向前,The crowd surged forward when the doors opened.,
surname,6,姓,Please write your surname first.,
suspension,6,中止,The suspension of the game was due to rain.,
symmetry,6,對稱(性),The building is known for its perfect symmetry.,
sympathize,6,同情,I sympathize with your difficult situation.,
symphony,6,交響樂,The orchestra played a beautiful symphony.,
synonym,6,同義詞,'Big' and 'large' are synonyms.,
tan,6,使)曬黑,She got a tan during her vacation.,
teller,6,講故事者；銀行出納員,The bank teller counted the cash.,
tenant,6,房客,The tenant pays rent every month.,
tentative,6,試驗性的,We made tentative plans for the weekend.,
terrace,6,陽臺,We had breakfast on the terrace.,
tiresome,6,令人厭煩的,The long wait was tiresome.,
token,6,記號,Please accept this gift as a token of our thanks.,
transmit,6,傳播,The radio station transmits news every hour.,
transplant,6,移植,He needed a heart transplant.,
turmoil,6,混亂,The country was in political turmoil.,
twinkle,6,閃爍,The stars twinkle in the night sky.,
underestimate,6,低估,Never underestimate your opponent.,
unify,6,統一,The leader tried to unify the divided nation.,
urgency,6,緊急,The matter was treated with great urgency.,
usher,6,迎賓員,The usher showed us to our seats.,
utensil,6,器皿,Kitchen utensils are used for cooking.,
vaccine,6,疫苗,The vaccine protects against the disease.,
vanilla,6,香草,She added vanilla to the cake batter.,
vanity,6,自負,His vanity made him difficult to talk to.,
vapor,6,水蒸氣,Water turns into vapor when it boils.,
veil,6,面紗,The bride wore a white veil.,
versatile,6,多才多藝的,She is a versatile actress.,
vibration,6,振動,The vibration of the machine shook the floor.,
vigor,6,精力,He worked with great vigor.,
villa,6,別墅,They rented a villa by the sea.,
villain,6,反派角色,The villain was finally caught.,
vine,6,葡萄(藤),The vine grew along the wall.,
vineyard,6,葡萄園,The vineyard produces excellent wine.,
vocation,6,職業,Teaching is a noble vocation.,
vowel,6,母音,"A, E, I, O, U are vowels.",
walnut,6,胡桃(樹),She added walnuts to the salad.,
warrant,6,搜查令,The police obtained a search warrant.,
weary,6,筋疲力竭的,He felt weary after the long journey.,
wholesale,6,批發；大批的,They buy goods at wholesale prices.,
withhold,6,保留,He decided to withhold the information.,
woe,6,悲傷,She told him all her woes.,
yearn,6,渴望,He yearned for a peaceful life.,
abbreviate,6,縮寫,You can abbreviate 'kilometer' to 'km'.,
abound,6,充滿；富於,Fish abound in this river.,
