word,meaning,sentence,category
finger,手指,"I have ten fingers.","1. People"
foot,腳,"My foot is cold.","1. People"
hand,手,"Please give me your hand.","1. People"
head,頭,"He nodded his head.","1. People"
throat,喉嚨,"My throat is sore.","1. People"
heart,心,"Exercise is good for the heart.","1. People"
stomach,胃,"My stomach feels full.","1. People"
neck,脖子,"She wears a scarf around her neck.","1. People"
shoulder,肩膀,"He put his arm on my shoulder.","1. People"
aunt,阿姨,"My aunt lives in another city.","1. People"
brother,兄弟,"I have one brother.","1. People"
cousin,表哥弟妹,"My cousin is coming to visit.","1. People"
daughter,女兒,"My daughter is a student.","1. People"
family,"家庭,家人","I love my family very much.","1. People"
grandfather,爺爺,"My grandfather is very old.","1. People"
grandmother,奶奶,"She visits her grandmother every week.","1. People"
husband,丈夫,"Her husband is a doctor.","1. People"
mother(mom),媽媽,"My mom cooks delicious food.","1. People"
father(dad),爸爸,"My dad works in an office.","1. People"
parents,雙親,"My parents are both teachers.","1. People"
sister,妹妹,"My sister is younger than me.","1. People"
married,已婚,"She is married and has two children.","1. People"
uncle,叔叔,"My uncle can fix anything.","1. People"
grow,長大,"Plants grow in spring.","1. People"
hundred,百,"This book has a hundred pages.","1. People"
thousand,千,"There are a thousand people in the hall.","1. People"
many much,很多,"There are many apples on the tree.","1. People"
some,一些,"I have some questions.","1. People"
several,幾個,"She has several friends.","1. People"
all,全部,"All the students are here.","1. People"
first,第一,"He came first in the race.","1. People"
second,第二,"This is my second visit.","1. People"
third,第三,"He is the third child.","1. People"
last,最後,"This is the last day of school.","1. People"
number,數字,"Write your number here.","1. People"
a few,一些,"I have a few apples.","1. People"
few,很少,"There are few students today.","1. People"
both,兩者都,"Both of them are correct.","1. People"
morning,早晨,"I wake up early in the morning.","1. People"
noon,中午,"We eat lunch at noon.","1. People"
afternoon,下午,"I go to school in the afternoon.","1. People"
evening,傍晚,"We watch TV in the evening.","1. People"
night,夜晚,"I read a book at night.","1. People"
Monday,週一,"I have English class on Monday.","1. People"
Tuesday,週二,"Tuesday is the second day of the week.","1. People"
Wednesday,週三,"We have a test on Wednesday.","1. People"
Thursday,週四,"Thursday is my favorite day.","1. People"
Friday,週五,"We go out on Friday night.","1. People"
Saturday,週六,"I play games on Saturday.","1. People"
Sunday,星期天,"I go to church on Sunday.","1. People"
week,週,"There are seven days in a week.","1. People"
weekend,週末,"We go camping on the weekend.","1. People"
month,月,"A year has twelve months.","1. People"
January,一月,"January is the first month.","1. People"
February,二月,"February has twenty-eight days.","1. People"
March,三月,"March is a windy month.","1. People"
April,四月,"April is the fourth month.","1. People"
May,五月,"May is a beautiful month.","1. People"
June,六月,"June is the start of summer.","7. Food & drink"
July,七月,"July is very hot.","7. Food & drink"
August,八月,"August is a busy month.","7. Food & drink"
September,九月,"September is the ninth month.","7. Food & drink"
October,十月,"October is autumn time.","7. Food & drink"
November,十一月,"November is cool.","7. Food & drink"
December,十二月,"December is Christmas time.","7. Food & drink"
season,季節,"Autumn is my favorite season.","7. Food & drink"
spring,春天,"Flowers bloom in spring.","7. Food & drink"
summer,夏天,"We swim in summer.","7. Food & drink"
fall,秋天,"Leaves fall in autumn.","7. Food & drink"
winter,冬天,"It snows in winter.","7. Food & drink"
clock,鐘,"The clock is ticking.","7. Food & drink"
watch,手錶,"I wear a watch on my wrist.","7. Food & drink"
hour,時,"An hour has sixty minutes.","7. Food & drink"
today,今天,"Today is a beautiful day.","7. Food & drink"
minute,分,"Please wait a minute.","7. Food & drink"
year,年,"Next year I will go to high school.","7. Food & drink"
ago,以前,"Two years ago, I was shorter.","7. Food & drink"
past,過去,"In the past, people used horses.","7. Food & drink"
tomorrow,明天,"I will see you tomorrow.","7. Food & drink"
yesterday,昨天,"It rained yesterday.","7. Food & drink"
future,未來,"I hope to be a doctor in the future.","7. Food & drink"
soon,馬上,"I will come soon.","7. Food & drink"
already,已經,"I have already eaten dinner.","7. Food & drink"
early,早的,"We woke up early today.","7. Food & drink"
next,下一個,"Turn to the next page.","7. Food & drink"
tonight,今晚,"I will do my homework tonight.","7. Food & drink"
once,一次,"I have been there once.","7. Food & drink"
twice,兩次,"I have read this book twice.","7. Food & drink"
drink,飲食,"We drink milk every morning.","7. Food & drink"
fruit,水果,"I eat fruit every day.","7. Food & drink"
apple,蘋果,"I like to eat apples.","7. Food & drink"
banana,香蕉,"She eats a banana for breakfast.","7. Food & drink"
grapes,葡萄,"Grapes are sweet.","7. Food & drink"
guava,芭樂,"Guava is my favorite fruit.","7. Food & drink"
lemon,檸檬,"Lemons are sour.","7. Food & drink"
orange,柳橙,"Oranges are juicy.","7. Food & drink"
papaya,木瓜,"Papaya is good for digestion.","7. Food & drink"
peach,桃子,"Peaches are tasty.","7. Food & drink"
pear,梨子,"This pear is very sweet.","7. Food & drink"
strawberry,草莓,"I love strawberries with cream.","7. Food & drink"
tomato,蕃茄,"Tomatoes are vegetables.","7. Food & drink"
watermelon,西瓜,"Watermelon is great in summer.","7. Food & drink"
vegetable,蔬菜,"We need to eat vegetables.","7. Food & drink"
bean,豆子,"Beans are a good source of protein.","7. Food & drink"
pumpkin,南瓜,"We carved a pumpkin for Halloween.","7. Food & drink"
food,食物,"I love Asian food.","7. Food & drink"
meat,肉類,"He doesn't eat meat.","7. Food & drink"
beef,牛肉,"Beef is expensive.","7. Food & drink"
bread,麵包,"I eat bread for breakfast.","7. Food & drink"
bun,小麵包,"I had a bun for lunch.","7. Food & drink"
chicken,雞肉,"She ordered fried chicken.","7. Food & drink"
dumpling,餃子,"Dumplings are delicious.","7. Food & drink"
egg,雞蛋,"We have eggs for breakfast.","7. Food & drink"
fast,快的,"He is a fast runner.","7. Food & drink"
eat,吃,"We eat together every day.","7. Food & drink"
fish,魚,"Fish is good for your brain.","7. Food & drink"
French fries,薯條,"I like French fries with ketchup.","7. Food & drink"
ham,火腿,"I made a ham sandwich.","7. Food & drink"
hamburger,漢堡,"He wants a hamburger.","7. Food & drink"
hot dog,熱狗,"We ate hot dogs at the game.","7. Food & drink"
noodle,麵條,"I eat noodles with chopsticks.","7. Food & drink"
pizza,披薩,"Pizza is my favorite food.","7. Food & drink"
pork,豬肉,"She doesn't eat pork.","7. Food & drink"
rice,米飯,"I have rice for lunch.","7. Food & drink"
salad,沙拉,"I made a green salad.","7. Food & drink"
sandwich,三明治,"He packed a sandwich for lunch.","7. Food & drink"
soup,湯,"The soup is hot.","7. Food & drink"
steak,牛排,"She ordered a steak for dinner.","7. Food & drink"
snack,點心,"I eat a snack after school.","7. Food & drink"
breakfast,早餐,"Breakfast is the most important meal.","7. Food & drink"
dinner,晚餐,"We have dinner at seven.","7. Food & drink"
lunch,午餐,"She packed her lunch.","7. Food & drink"
meal,餐,"We had a nice meal.","7. Food & drink"
burn,燃燒,"Fire burns wood.","7. Food & drink"
coffee,咖啡,"I drink coffee in the morning.","7. Food & drink"
cola,可樂,"He ordered a cola.","7. Food & drink"
ice,冰,"Please put some ice in my drink.","7. Food & drink"
juice,果汁,"I prefer orange juice.","7. Food & drink"
milk,牛奶,"We drink milk at breakfast.","7. Food & drink"
milkshake,奶昔,"She likes strawberry milkshake.","7. Food & drink"
tea,茶,"I prefer tea over coffee.","7. Food & drink"
water,水,"Please give me a glass of water.","7. Food & drink"
cake,蛋糕,"We bought a cake for her birthday.","7. Food & drink"
candy,糖果,"I like to eat candy.","7. Food & drink"
cheese,起司,"I put cheese on my pizza.","7. Food & drink"
chocolate,巧克力,"Chocolate is my favorite.","7. Food & drink"
cookie,餅乾,"She baked cookies.","7. Food & drink"
ice cream,冰淇淋,"I want ice cream.","7. Food & drink"
moon cake,月餅,"We eat moon cakes for the Moon Festival.","7. Food & drink"
cook,廚師,"My mom is a good cook.","7. Food & drink"
popcorn,爆米花,"We ate popcorn at the movies.","7. Food & drink"
toast,吐司,"I have toast for breakfast.","7. Food & drink"
butter,奶油,"She spread butter on the bread.","7. Food & drink"
oil,油,"We cook with vegetable oil.","7. Food & drink"
salt,鹽,"Please pass me the salt.","7. Food & drink"
sugar,糖,"He takes sugar in his coffee.","7. Food & drink"
hungry,飢餓的,"I am hungry.","7. Food & drink"
full,飽的,"I am full.","7. Food & drink"
thirsty,口渴的,"She feels thirsty.","7. Food & drink"
delicious,美味的,"The food is delicious.","7. Food & drink"
hot,熱的,"The soup is very hot.","7. Food & drink"
sweet,甜的,"This mango is sweet.","7. Food & drink"
yummy,好吃的,"Yummy, I love cake!","7. Food & drink"
bake,烤,"We bake bread in the oven.","7. Food & drink"
boil,煮,"Please boil the water.","7. Food & drink"
order,點菜,"I order a pizza.","7. Food & drink"
menu,菜單,"Let's look at the menu.","7. Food & drink"
coat,外套,"She wears a winter coat.","7. Food & drink"
dress,洋裝,"She bought a new dress.","7. Food & drink"
jacket,夾克,"He put on his jacket.","7. Food & drink"
jeans,牛仔褲,"I wear jeans to school.","7. Food & drink"
pants,長褲,"These pants are too long.","7. Food & drink"
shirt,襯衫,"He wore a white shirt.","7. Food & drink"
wear,穿,"She likes to wear red.","7. Food & drink"
shorts,短褲,"It's hot, so I wear shorts.","7. Food & drink"
skirt,裙子,"The girl wears a skirt.","7. Food & drink"
sweater,毛衣,"I need a sweater in winter.","7. Food & drink"
uniform,制服,"All students wear a uniform.","7. Food & drink"
vest,背心,"He wore a vest over his shirt.","7. Food & drink"
bag,袋子,"She carries a bag to school.","7. Food & drink"
belt,皮帶,"He tightened his belt.","7. Food & drink"
cap,帽子,"He wears a cap to cover his head.","7. Food & drink"
comb,梳子,"She uses a comb for her hair.","7. Food & drink"
glove,手套,"I need gloves in winter.","7. Food & drink"
hat,帽子,"She has a sun hat.","7. Food & drink"
clothes,衣物,"I bought new clothes.","7. Food & drink"
pocket,皮包,"I put my keys in my pocket.","7. Food & drink"
ring,戒指/鈴響,"He gave her a diamond ring.","7. Food & drink"
shoes,鞋子,"These shoes are comfortable.","7. Food & drink"
socks,襪子,"I put on my socks first.","7. Food & drink"
tie,領帶,"He wears a tie at work.","7. Food & drink"
umbrella,雨傘,"Bring an umbrella, it might rain.","7. Food & drink"
badminton,羽球,"We play badminton in the park.","7. Food & drink"
baseball,棒球,"He likes to play baseball.","7. Food & drink"
basketball,籃球,"I play basketball every day.","7. Food & drink"
dodge ball,躲避球,"We play dodge ball in gym class.","7. Food & drink"
frisbee,飛盤,"The dog catches the frisbee.","10. Houses & apartments"
race,比賽,"She won the race.","10. Houses & apartments"
soccer,足球,"He plays soccer on the weekend.","10. Houses & apartments"
tennis,網球,"We play tennis at the park.","10. Houses & apartments"
barbecue,烤肉,"We had a barbecue in the garden.","10. Houses & apartments"
picnic,野餐,"We had a picnic in the park.","10. Houses & apartments"
swim,游泳,"I like to swim in the pool.","10. Houses & apartments"
t rip,旅行,"We are planning a trip.","10. Houses & apartments"
band,樂團,"My brother plays in a band.","10. Houses & apartments"
comic,漫畫,"I like to read comics.","10. Houses & apartments"
computer game doll,洋娃娃,"She plays with her computer game doll.","10. Houses & apartments"
credit card,信用卡電腦遊戲,"He paid with a credit card.","10. Houses & apartments"
game,遊戲,"Let's play a game.","10. Houses & apartments"
kite,風箏,"We fly kites on windy days.","10. Houses & apartments"
movie,電影,"We watch a movie tonight.","10. Houses & apartments"
music,音樂,"I listen to music every day.","10. Houses & apartments"
paint,畫畫,"She likes to paint pictures.","10. Houses & apartments"
piano,鋼琴,"She practices piano every day.","10. Houses & apartments"
song,歌曲,"This is a beautiful song.","10. Houses & apartments"
team,隊伍,"Our team won the game.","10. Houses & apartments"
t oy,玩具,"The child plays with his toy.","10. Houses & apartments"
lose,輸,"They lose the game.","10. Houses & apartments"
play,玩,"The children play outside.","10. Houses & apartments"
win,贏,"We want to win the match.","10. Houses & apartments"
fan,電風扇；粉絲,"She is a big fan of that singer.","10. Houses & apartments"
apartment,公寓,"We live in a small apartment.","10. Houses & apartments"
house,房子,"They bought a new house.","10. Houses & apartments"
home,房子；家,"I feel happy at home.","10. Houses & apartments"
bathroom,浴室,"The bathroom is clean.","10. Houses & apartments"
bedroom,臥房,"My bedroom is comfortable.","10. Houses & apartments"
dining room,餐廳,"We eat in the dining room.","10. Houses & apartments"
garden,花園,"The garden is full of flowers.","10. Houses & apartments"
kitchen,廚房,"She cooks in the kitchen.","10. Houses & apartments"
living room,客廳,"We sit in the living room.","10. Houses & apartments"
room,房間,"This room is big.","10. Houses & apartments"
study,書房,"He studies in his study.","10. Houses & apartments"
yard,庭院,"The dog runs in the yard.","10. Houses & apartments"
balcony,陽台,"I sit on the balcony and read.","10. Houses & apartments"
door,門,"Please close the door.","10. Houses & apartments"
floor,地板,"The floor is wooden.","10. Houses & apartments"
gate,大門,"The gate is locked.","10. Houses & apartments"
stairs,階梯,"He climbed the stairs.","10. Houses & apartments"
wall,牆壁,"The walls are painted white.","10. Houses & apartments"
window,窗戶,"Look out of the window.","10. Houses & apartments"
bath,洗澡,"I have a bath in the evening.","10. Houses & apartments"
bed,床,"I sleep in my bed.","10. Houses & apartments"
bench,長椅,"We sit on the bench in the park.","10. Houses & apartments"
chair,椅子,"Please sit on the chair.","10. Houses & apartments"
couch,沙發,"I relax on the couch.","10. Houses & apartments"
desk,書桌,"I study at my desk.","10. Houses & apartments"
drawer,抽屜,"I put my socks in the drawer.","10. Houses & apartments"
lamp,檯燈,"I turn on the lamp.","10. Houses & apartments"
light,光,"Turn on the light.","10. Houses & apartments"
sofa,沙發,"The sofa is comfortable.","10. Houses & apartments"
table,桌子,"The books are on the table.","10. Houses & apartments"
tub,桶子；木盆,"I fill the tub with water.","10. Houses & apartments"
blanket,毛毯,"I wrap myself in a blanket.","10. Houses & apartments"
towel,毛巾,"She dries her hands with a towel.","10. Houses & apartments"
camera,照相機computer電腦,"I take a picture with my camera.","10. Houses & apartments"
machine,機器,"The machine is broken.","10. Houses & apartments"
radio,收音機,"I listen to the radio.","10. Houses & apartments"
refrigerator,冰箱,"We keep milk in the refrigerator.","10. Houses & apartments"
tape,膠帶,"I use tape to wrap the gift.","10. Houses & apartments"
recorder,錄音機,"She records her voice with a recorder.","10. Houses & apartments"
telephone,電話,"I call you on the telephone.","10. Houses & apartments"
Television (TV),電視,"I watch TV after school.","10. Houses & apartments"
video,錄影機,"We watched a video together.","10. Houses & apartments"
basket,籃子,"I put vegetables in a basket.","10. Houses & apartments"
candle,蠟燭,"She lit a candle.","10. Houses & apartments"
key,鑰匙,"I use a key to open the door.","10. Houses & apartments"
street,街道,"Walk on the street carefully.","10. Houses & apartments"
pot,茶壺,"She pours tea from the pot.","10. Houses & apartments"
building,建築物,"This building is very tall.","10. Houses & apartments"
clean,清理,"We clean the house on Saturday.","10. Houses & apartments"
fix,修理,"Can you fix my bike?","10. Houses & apartments"
wash,洗,"I wash my hands.","10. Houses & apartments"
road,路,"The road is busy.","10. Houses & apartments"
gym,體育館國小國中高中,"We play basketball in the gym.","10. Houses & apartments"
playground,操場,"The children play on the playground.","10. Houses & apartments"
library,圖書館,"I borrow books from the library.","10. Houses & apartments"
class,教室：課,"We have class at nine.","10. Houses & apartments"
seesaw,翹翹板,"The kids play on the seesaw.","10. Houses & apartments"
slide,溜滑梯,"She likes to slide down the slide.","10. Houses & apartments"
blackboard,黑板,"The teacher writes on the blackboard.","10. Houses & apartments"
book,書,"I read a book every night.","10. Houses & apartments"
chalk,粉筆,"The teacher uses chalk.","10. Houses & apartments"
dictionary,字典,"I look up words in the dictionary.","10. Houses & apartments"
envelope,信封,"I put the letter in an envelope.","10. Houses & apartments"
eraser,橡皮擦,"I use an eraser to erase mistakes.","10. Houses & apartments"
glasses,玻璃杯,"She drinks water from a glass.","10. Houses & apartments"
glue,膠水,"I use glue to stick paper.","10. Houses & apartments"
letter,信,"I wrote a letter to my friend.","10. Houses & apartments"
map,地圖,"I look at the map to find the place.","10. Houses & apartments"
marker,馬克筆,"He draws with a marker.","10. Houses & apartments"
notebook,筆記本,"I write notes in my notebook.","10. Houses & apartments"
page,頁數,"Turn to page ten.","10. Houses & apartments"
paper,紙,"I write on paper.","10. Houses & apartments"
pen,筆,"She writes with a pen.","10. Houses & apartments"
pencil box(case) pencil,鉛筆,"I keep my pencils in my pencil box.","10. Houses & apartments"
picture,圖片postcard明信片,"She drew a beautiful picture.","10. Houses & apartments"
present,禮物鉛筆盒,"I bought a present for her.","10. Houses & apartments"
ruler,尺,"I use a ruler to draw a straight line.","10. Houses & apartments"
workbook,作業簿,"I do exercises in my workbook.","10. Houses & apartments"
course,科目,"I take a math course.","10. Houses & apartments"
art,美術,"I like art class.","10. Houses & apartments"
Chinese,中文,"I study Chinese at school.","10. Houses & apartments"
English,英文,"We have English class every day.","10. Houses & apartments"
history,歷史,"I enjoy learning history.","10. Houses & apartments"
language,語言,"English is a useful language.","10. Houses & apartments"
math,數學,"I am good at math.","10. Houses & apartments"
classmate,同學,"My classmate is from Japan.","12. Places & locations"
friend,朋友,"He is my best friend.","12. Places & locations"
student,學生,"The student studies hard.","12. Places & locations"
teacher,老師,"My teacher is kind.","12. Places & locations"
answer,答案,"Please give me the answer.","12. Places & locations"
ask,詢問,"I ask a question.","12. Places & locations"
fail,不及格,"If you don't study, you may fail.","12. Places & locations"
learn,學習,"We learn new words every day.","12. Places & locations"
listen,聽,"Please listen to me.","12. Places & locations"
mark,痕跡；記號,"He made a mark on the paper.","12. Places & locations"
pass,通過,"She passed the exam.","12. Places & locations"
practice,練習,"Practice makes perfect.","12. Places & locations"
prepare,複習,"I prepare for the test.","12. Places & locations"
read,讀書,"I read a book every day.","12. Places & locations"
repeat,重複,"Please repeat after me.","12. Places & locations"
say,說,"I say hello to my friend.","12. Places & locations"
speak,說,"I speak English.","12. Places & locations"
spell,拼,"How do you spell this word?","12. Places & locations"
talk,說話,"We talk about the homework.","12. Places & locations"
teach,敎,"She teaches math.","12. Places & locations"
understand,明白,"I understand the lesson.","12. Places & locations"
write,寫,"I write a letter.","12. Places & locations"
draw,畫,"I draw a picture.","12. Places & locations"
example,例子,"Let me give you an example.","12. Places & locations"
grade,成績練習,"She got a high grade.","12. Places & locations"
homework,回,"I do my homework after school.","12. Places & locations"
knowledge,知識,"Knowledge is power.","12. Places & locations"
lesson,課,"We have a math lesson today.","12. Places & locations"
problem,問題,"I have a problem to solve.","12. Places & locations"
question,問題家功課,"Do you have any questions?","12. Places & locations"
quiz,測驗,"We have a quiz every Friday.","12. Places & locations"
story,故事,"I like to read stories.","12. Places & locations"
test,考試,"I have a test tomorrow.","12. Places & locations"
here,這裡,"I live here.","12. Places & locations"
there,那裡,"The book is over there.","12. Places & locations"
back,後面,"Please move back.","12. Places & locations"
front,前面,"I sit in the front of the class.","12. Places & locations"
left,左邊,"Turn left at the corner.","12. Places & locations"
middle,中間,"I am in the middle of the row.","12. Places & locations"
right,右邊；正確,"Take a right turn.","12. Places & locations"
east,東,"The sun rises in the east.","12. Places & locations"
west,西,"The sun sets in the west.","12. Places & locations"
south,南,"We drive south for vacation.","12. Places & locations"
north,北,"He lives in the north.","12. Places & locations"
top,上面,"There is a bird on the top of the tree.","12. Places & locations"
bakery,麵包店,"I buy bread at the bakery.","12. Places & locations"
bank,銀行,"I go to the bank to deposit money.","12. Places & locations"
beach,海灘,"We swim at the beach.","12. Places & locations"
department store fast food restaurant bookstore,書店,"I bought a book at the bookstore.","12. Places & locations"
church,教堂,"They go to church on Sundays.","12. Places & locations"
factory,工廠百貨公司速食餐廳,"My father works in a factory.","12. Places & locations"
fire station flower shop,花店,"I buy flowers at the flower shop.","12. Places & locations"
hospital,醫院,"She works in a hospital.","12. Places & locations"
hotel,旅館,"We stayed at a hotel.","12. Places & locations"
market,市場消防站,"I buy vegetables at the market.","12. Places & locations"
movie theater,戲,"We watch a movie at the theater.","12. Places & locations"
museum,博物館,"We visit the museum on Sunday.","12. Places & locations"
office,辦公室,"My dad works in an office.","12. Places & locations"
park,公園,"We play in the park.","12. Places & locations"
post office,郵局院,"I mail a letter at the post office.","12. Places & locations"
police station restroom,廁所,"I need to use the restroom.","12. Places & locations"
restaurant,餐廳,"We eat dinner at a restaurant.","12. Places & locations"
shop,商店,"I go to the shop to buy milk.","12. Places & locations"
store,商店警察局,"The store sells clothes.","12. Places & locations"
supermarket temple,寺廟,"We go to the supermarket to buy food.","12. Places & locations"
theater,戲院,"We went to the theater.","12. Places & locations"
zoo,動物園,"We saw lions at the zoo.","12. Places & locations"
city,城市超級市場,"I live in a big city.","12. Places & locations"
country farm,農場,"We visited a farm.","12. Places & locations"
place,地方,"This is a nice place.","12. Places & locations"
town,城鎮國家；鄉下,"We live in a small town.","12. Places & locations"
airplane(plane) bicycle(bike) boat,船,"We took a boat across the river.","12. Places & locations"
bus,巴士,"I take the bus to school.","12. Places & locations"
car,汽車飛機腳踏車,"She drives a car.","12. Places & locations"
motorcycle scooter,摩托車,"He rides a motorcycle.","12. Places & locations"
ship,郵輪,"They traveled by ship.","12. Places & locations"
taxi,計程車,"We took a taxi to the station.","12. Places & locations"
train,火車摩托車,"I go to work by train.","12. Places & locations"
truck,卡車,"The truck carries heavy goods.","12. Places & locations"
airport,機場,"We arrived at the airport.","12. Places & locations"
bus stop,巴士站,"I wait at the bus stop.","12. Places & locations"
station,站,"The train stops at the station.","12. Places & locations"
land,土地,"The farmer works on the land.","12. Places & locations"
block,街區,"I live three blocks away.","12. Places & locations"
bridge,橋,"We walked across the bridge.","12. Places & locations"
MRT,捷運,"I take the MRT to work.","12. Places & locations"
railway,鐵路,"The railway goes through the city.","12. Places & locations"
sidewalk,人行道,"Please walk on the sidewalk.","12. Places & locations"
traffic,交通,"Traffic is heavy in the morning.","12. Places & locations"
arrive,到達,"They arrive at noon.","12. Places & locations"
cross,越過,"I cross the street carefully.","12. Places & locations"
drive,駕駛,"He drives to work.","12. Places & locations"
fly,飛,"Birds fly in the sky.","12. Places & locations"
ride,騎,"She rides a bike.","12. Places & locations"
turn,轉,"Turn left at the next corner.","12. Places & locations"
slow,慢,"The car is slow.","12. Places & locations"
quick,快點,"He is a quick worker.","12. Places & locations"
centimeter,公分,"The pencil is 15 centimeters long.","12. Places & locations"
gram,克,"This apple weighs 200 grams.","12. Places & locations"
inch,英吋,"The screen is 5 inches.","12. Places & locations"
kilogram,公斤,"I weigh 50 kilograms.","12. Places & locations"
mile,哩,"We walked a mile.","12. Places & locations"
pound,磅,"This book weighs 2 pounds.","12. Places & locations"
circle,圓,"Draw a circle on the paper.","12. Places & locations"
dot,小圓點,"Put a dot at the end.","12. Places & locations"
line,線,"Draw a line between the two points.","12. Places & locations"
point,點,"What is your point?","15. Occupations"
size,尺寸,"What size is this shirt?","15. Occupations"
shape,形狀,"The shape is square.","15. Occupations"
square,正方形,"A square has four sides.","15. Occupations"
big,大,"My house is big.","15. Occupations"
far,遠,"The school is far from here.","15. Occupations"
high,高,"The mountain is very high.","15. Occupations"
large,大,"This jacket is too large.","15. Occupations"
little,小,"She has a little dog.","15. Occupations"
long,長,"This river is long.","15. Occupations"
low,低,"The table is low.","15. Occupations"
medium,中間,"I need a medium size.","15. Occupations"
small,小,"This room is small.","15. Occupations"
straight,直,"Go straight ahead.","15. Occupations"
round,圓的,"The ball is round.","15. Occupations"
bottle,瓶子,"I put water in the bottle.","15. Occupations"
cup,杯子,"I drink from a cup.","15. Occupations"
dozen,一打,"I bought a dozen eggs.","15. Occupations"
glass,杯子,"I need a glass of water.","15. Occupations"
pack,包,"He carried a pack on his back.","15. Occupations"
package,包裝,"I received a package today.","15. Occupations"
pair,一雙；一對,"I bought a pair of shoes.","15. Occupations"
piece,片,"She ate a piece of cake.","15. Occupations"
businessman,生,"He is a successful businessman.","15. Occupations"
boss,老闆,"My boss is very strict.","15. Occupations"
doctor,醫生,"I want to be a doctor.","15. Occupations"
driver,司機意人,"The driver takes us to school.","15. Occupations"
farmer,農夫,"The farmer plants crops.","15. Occupations"
fisherman,漁夫,"The fisherman catches fish.","15. Occupations"
nurse,護士,"The nurse takes care of patients.","15. Occupations"
singer,歌手,"The singer has a beautiful voice.","15. Occupations"
waiter,服務生,"The waiter brings our food.","15. Occupations"
worker,工人女服務生,"The worker builds houses.","15. Occupations"
writer,作者,"The writer wrote a novel.","15. Occupations"
business,生意,"He runs a family business.","15. Occupations"
job,工作,"I have a part-time job.","15. Occupations"
work,工作,"My work is interesting.","15. Occupations"
weather,天氣,"The weather is nice today.","15. Occupations"
sunny,晴朗的,"It's sunny today.","15. Occupations"
cloudy,多雲的,"The sky is cloudy.","15. Occupations"
cold,冷的,"I feel cold.","15. Occupations"
dry,乾燥的,"The weather is dry.","15. Occupations"
rainy,下雨的,"It is rainy today.","15. Occupations"
snowy,下雪的,"We had a snowy day.","15. Occupations"
