word,level,meaning,sentence
chimney,3,煙囪,Smoke came out of the chimney.
chin,3,下巴,He rested his chin on his hand.
chip,3,晶片；削,This computer has a fast chip.
chop,3,劈；肋排肉,He used an axe to chop wood.
cigarette,3,香煙；煙捲,He put out his cigarette.
circus,3,馬戲團,The children loved the circus.
clay,3,黏土；泥土,She made a bowl from clay.
cleaner,3,清潔工(劑),The cleaner comes every Monday.
client,3,客戶,The lawyer met with his client.
clinic,3,診所,She went to the clinic for a checkup.
clip,3,修剪；夾住,He used a clip to hold the papers.
closet,3,壁櫥；衣櫥,Hang your coat in the closet.
clothe,3,為…穿衣,They clothe the poor children.
clown,3,小丑,The clown made everyone laugh.
clue,3,線索,The police found an important clue.
coach,3,教練員；公車,The coach trained the team hard.
cock,3,公雞,The cock crowed at dawn.
cocktail,3,雞尾酒,She ordered a fruit cocktail.
coconut,3,椰子,The coconut fell from the tree.
collar,3,衣領；項圈,The dog wore a red collar.
collection,3,收藏品；收集,He has a large stamp collection.
colony,3,殖民地,The island was once a British colony.
colorful,3,多采多姿的,The garden is full of colorful flowers.
column,3,欄；圓柱,The temple has tall stone columns.
committee,3,委員會,The committee will meet tomorrow.
communicate,3,溝通,We communicate by email.
comparison,3,比較；對照,There is no comparison between the two.
compete,3,競爭；比賽,She will compete in the race.
complain,3,抱怨,He complained about the poor service.
complaint,3,抱怨,The customer made a complaint.
concert,3,演奏會；音樂會,We went to a rock concert.
conclusion,3,結論；推論,What is your conclusion?
confirm,3,詮實,Please confirm your reservation.
confuse,3,把…弄糊塗；攪亂,The instructions confused me.
connect,3,連結,Connect the printer to the computer.
conscious,3,神智清醒的,He was conscious after the accident.
considerable,3,值得考慮的,She has considerable experience.
constant,3,固定的,The machine makes a constant noise.
continent,3,大陸；大洲,Africa is a large continent.
controller,3,控制者,The air traffic controller guided the plane.
cooker,3,炊具,She bought a new rice cooker.
costly,3,貴重的；代價高的,The mistake was very costly.
cotton,3,棉,This shirt is made of cotton.
cough,3,咳嗽,He has a bad cough.
countable,3,可數的,Apple is a countable noun.
county,3,郡；縣,He lives in a small county.
crab,3,蟹,We caught a crab at the beach.
cradle,3,搖籃；撫育,The baby slept in a cradle.
crane,3,起重機；鶴,The crane lifted the heavy box.
crash,3,墜毀；撞擊,The car crash injured two people.
crawl,3,爬行；蠕動,The baby began to crawl.
creative,3,有創造力的,She is a creative artist.
creator,3,創作者,The creator of the game is very young.
creature,3,生物,The forest is full of small creatures.
credit,3,信用；賒帳,He bought the car on credit.
crew,3,一群)工作人員,The crew worked all night.
cricket,3,蟋蟀,We heard crickets in the garden.
criminal,3,犯罪的；罪犯,The criminal was sent to prison.
crop,3,作物,The farmers harvested their crops.
crown,3,王冠；為…加冕,The king wore a golden crown.
cruel,3,殘酷的,It is cruel to hurt animals.
cupboard,3,碗櫃,The plates are in the cupboard.
dairy,3,乳品店,We buy milk at the dairy.
dam,3,水壩；築壩於…,The dam controls the river.
dare,3,敢於…；膽敢,I dare you to jump into the pool.
darling,3,親愛的,Good night my darling.
dash,3,猛衝,He made a dash for the bus.
dawn,3,黎明；破曉,We left at dawn.
deck,3,甲板,The sailors stood on the deck.
decorate,3,裝飾,We decorate the tree at Christmas.
decrease,3,減少,The number of students decreased.
deed,3,行為；功績,It was a good deed to help her.
deepen,3,加深,The river begins to deepen here.
democracy,3,民主,Democracy gives people a voice.
democratic,3,民主的,They held a democratic election.
deposit,3,存款；押金；放置,He made a deposit at the bank.
designer,3,設計師,She is a fashion designer.
desire,3,慾望,He has a strong desire to succeed.
dessert,3,甜點；餐後點心,We had ice cream for dessert.
destroy,3,摧毀,The fire destroyed the old house.
determine,3,決定；堅決,She determined to finish the race.
devil,3,魔鬼,The devil is often shown with horns.
dim,3,朦朧的,The room was dim and quiet.
dime,3,一角硬幣,He gave me a dime.
dine,3,用餐,We dined at a fine restaurant.
dinosaur,3,恐龍,The museum has a huge dinosaur skeleton.
dip,3,浸；泡,She dipped her hand in the water.
dirt,3,污物；泥土,His shoes were covered with dirt.
discount,3,折扣,We got a ten percent discount.
dishonest,3,不誠實的,It is dishonest to lie.
ditch,3,水道；渠道,The car ran off the road into a ditch.
dive,3,跳水；潛水,He dived into the pool.
dizzy,3,頭暈目眩的,The heat made her feel dizzy.
dock,3,碼頭,The ship arrived at the dock.
dolphin,3,海豚,We saw a dolphin in the sea.
donkey,3,驢,The donkey carried the heavy bags.
dose,3,藥物等的)一劑,Take one dose of this medicine.
doubtful,3,令人懷疑的,It is doubtful that he will come.
doughnut,3,甜甜圈,She bought a chocolate doughnut.
downtown,3,在城市的商業區；鬧區,We went downtown to shop.
drag,3,拖曳,He dragged the heavy box across the floor.
dragonfly,3,蜻蜓,A dragonfly landed on the leaf.
drain,3,排水,The water slowly drained from the sink.
dramatic,3,戲劇性的,There was a dramatic change in the weather.
drown,3,把…淹死；淹沒,He nearly drowned in the river.
drugstore,3,雜貨店,She bought medicine at the drugstore.
drunk,3,喝酒醉的,He was too drunk to drive.
dumb,3,啞的；愚笨的,It was a dumb mistake.
dump,3,傾倒,They dump waste into the river.
dust,3,灰塵；打掃,There is dust on the table.
eager,3,熱切的,She is eager to learn new things.
echo,3,回聲；回響,We heard the echo of our voices.
edit,3,編輯,She edited the report carefully.
educate,3,教育；教導,Parents should educate their children.
educational,3,有教育意義的,The trip was both fun and educational.
efficient,3,有效率的,She is an efficient worker.
elbow,3,肘部；扶手,He hurt his elbow playing tennis.
elderly,3,年長的,The elderly man walked slowly.
elect,3,選舉,We elect a new president every four years.
election,3,選舉,The election results were announced.
electricity,3,電；電流,The storm cut off our electricity.
electronic,3,電子的,He bought an electronic dictionary.
element,3,元素,Water is made of two elements.
elevator,3,電梯；升降機,Take the elevator to the fifth floor.
emergency,3,緊急情況,Call 911 in an emergency.
emotional,3,感情上的,She gave an emotional speech.
emperor,3,統治者；皇帝,The emperor ruled the country.
enable,3,使能夠,This ticket enables you to enter.
energetic,3,充滿活力的,The children are very energetic.
enjoyable,3,有樂趣的,We had an enjoyable afternoon.
entry,3,進入,The entry to the building is on the left.
envy,3,嫉妒；羨慕,She envied her friend's success.
erase,3,擦掉；抹去,Please erase the blackboard.
excellence,3,傑出；優點,The school is known for its excellence.
exchange,3,交換；交易,We exchanged gifts at the party.
exhibition,3,展示會,We visited an art exhibition.
expectation,3,期望,The results exceeded our expectations.
experiment,3,實驗,The scientist did a simple experiment.
explode,3,爆炸,The bomb exploded at noon.
explore,3,探索,They explored the unknown cave.
export,3,出口,The country exports rice.
extreme,3,盡頭的；極限,The heat was extreme.
fade,3,凋謝；枯萎,The flowers faded in the sun.
faint,3,頭暈的；暈倒,She felt faint and sat down.
fairy,3,仙女,The fairy granted him a wish.
faith,3,信念；諾言,She has faith in her friends.
fake,3,假的；偽造,The painting was a fake.
familiar,3,熟悉的,His face looks familiar.
fancy,3,迷戀,She has a fancy for nice clothes.
fare,3,車費；伙食,The bus fare is two dollars.
farther,3,進一步地,We walked farther than expected.
feather,3,羽毛；鳥類,The bird has soft feathers.
fence,3,柵欄；防衛,The dog jumped over the fence.
fighter,3,鬥士；戰鬥機,The fighter plane flew fast.
fist,3,拳頭；支配,He raised his fist in anger.
flame,3,火焰；燃燒,The flame burned brightly.
flash,3,閃爍；燈光,A flash of light lit the room.
flavor,3,味道；調味料,This ice cream has a fruit flavor.
flesh,3,肉體,The knife cut into the flesh.
float,3,飄浮；搖擺,The boat floated on the water.
flock,3,群；聚集,A flock of birds flew south.
flood,3,洪水；淹沒使氾濫,The flood destroyed many houses.
flour,3,麵粉,She used flour to make bread.
foggy,3,多霧的,It was foggy this morning.
fold,3,摺疊；交疊,Fold the paper in half.
follower,3,追隨者；擁護者,He has many followers online.
fond,3,喜歡的；愛好的,She is fond of chocolate.
forever,3,永遠,I will love you forever.
fortune,3,財產；好運,He made a fortune in business.
fountain,3,噴泉；噴水池,The fountain is in the park.
frank,3,坦白的,He gave a frank answer.
freeze,3,冰凍,Water freezes at zero degrees.
freezer,3,冰箱,Put the meat in the freezer.
frequent,3,頻繁的,He makes frequent trips to Japan.
frighten,3,使害怕,The loud noise frightened the baby.
fuel,3,燃料；加燃料,The car needs more fuel.
fund,3,資金,They raised funds for the school.
fur,3,毛皮,The cat has soft fur.
gallon,3,加侖,He bought a gallon of milk.
gamble,3,賭博；投機,He likes to gamble at the casino.
gang,3,惡少幫；阿飛黨,A gang of youths caused trouble.
gap,3,缺口；峽谷；隔閡,There is a gap in the fence.
garage,3,車庫,He parked the car in the garage.
gasoline/gas,3,汽油,We need to buy gasoline.
geography,3,地理學；地形,She teaches geography at school.
gesture,3,做手勢；手勢,He made a friendly gesture.
glance,3,一瞥；掃視,She gave him a quick glance.
global,3,全球的,Global warming is a serious problem.
glory,3,光榮；驕傲,The team won glory for their country.
glow,3,發光；發熱,The fire glowed in the dark.
golf,3,高爾夫球,He plays golf on weekends.
gossip,3,流言輩語,She loves to spread gossip.
governor,3,州長；主管,The governor visited the school.
grab,3,抓取；奪取,He grabbed my arm.
graduate,3,畢業；大學畢業生,She will graduate next year.
grasp,3,緊握；理解,He grasped the rope tightly.
grasshopper,3,蝗蟲；蚱蜢,A grasshopper jumped over the grass.
greedy,3,貪婪的,The greedy man took all the money.
greenhouse,3,溫室,Plants grow well in the greenhouse.
grin,3,露齒而笑,He grinned at the camera.
grocery,3,食品雜貨店,She went to the grocery store.
guidance,3,引導,He needs guidance from his teacher.
gum,3,樹脂；口香糖,She chewed a piece of gum.
hairdresser,3,美髮師,The hairdresser cut my hair.
hallway,3,玄關；走廊,The hallway is long and narrow.
handful,3,一把,He took a handful of nuts.
handkerchief,3,手帕；圍巾,She wiped her nose with a handkerchief.
handy,3,手邊的；巫巧的,This tool is very handy.
hanger,3,衣架；絞刑執行者,Hang your coat on the hanger.
harbor,3,海灣；港灣,The boat is in the harbor.
harm,3,損害；傷害,Smoking can harm your health.
harmful,3,有害的,Too much sun is harmful to your skin.
harvest,3,收穫,The farmers are busy with the harvest.
hasty,3,匆忙的,He made a hasty decision.
hatch,3,孵蛋；策劃,The eggs will hatch soon.
hay,3,乾草,The farmer stored hay in the barn.
headline,3,報紙的)標題,The headline was about the election.
headquarters,3,總部,The company's headquarters is in New York.
heal,3,治癒,The wound will heal in a few days.
heap,3,堆,There was a heap of clothes on the floor.
heater,3,暖氣機,Turn on the heater please.
heel,3,腳後跟,My new shoes hurt my heel.
helmet,3,頭盔；安全帽,Always wear a helmet when cycling.
hint,3,暗示,Give me a hint about the answer.
hire,3,租借；雇用,They hired a new employee.
historian,3,歷史學家,The historian wrote about ancient Rome.
historic,3,歷史上著名的,This is a historic building.
holy,3,神聖的,The temple is a holy place.
homesick,3,懷鄉病的,She felt homesick after moving abroad.
hometown,3,永久居留地,He returned to his hometown.
honesty,3,誠實,Honesty is the best policy.
honor,3,榮譽；使…增光,It is an honor to meet you.
hopeful,3,充滿希望的,She is hopeful about the future.
horrible,3,可怕的,The accident was horrible.
horror,3,恐怖,She screamed in horror.
housekeeper,3,女管家,The housekeeper cleans the rooms.
hug,3,擁抱；抱住,She gave her mother a big hug.
humid,3,潮溼的,The weather is hot and humid.
humor,3,幽默感,He has a good sense of humor.
humorous,3,幽默的,She told a humorous story.
hunger,3,飢餓,Many people suffer from hunger.
imagination,3,想像力；創造力,Children have great imagination.
immediate,3,立刻的,We need an immediate answer.
import,3,進口,The country imports oil.
impress,3,使銘記,Her speech impressed everyone.
indoor,3,室內的,They played indoor games.
indoors,3,在室內,We stayed indoors because of the rain.
industrial,3,工業的,The city is an industrial center.
inferior,3,低於…的,This product is inferior to the other one.
inform,3,通知,Please inform me of any change.
information,3,資訊,I need more information.
injury,3,傷害,He suffered a leg injury.
inn,3,小旅館；客棧,We stayed at a small inn.
inner,3,內在的,She has inner strength.
innocent,3,清白的；無知的,He is innocent of the crime.
inspect,3,檢查,The officer inspected the car.
intelligent,3,聰明的,She is an intelligent student.
interrupt,3,打斷,Do not interrupt me.
invent,3,發明；創造,He invented a new machine.
inventor,3,發明者,The inventor received a patent.
investigate,3,調查；研究,The police will investigate the case.
invitation,3,邀請,I received an invitation to the party.
ivory,3,似象牙的；象牙(質),The piano keys were made of ivory.
jail,3,拘留所,He spent a night in jail.
jar,3,罐；罈；瓶,She opened a jar of honey.
jaw,3,頜；顎；下巴,He broke his jaw in the accident.
jazz,3,爵士樂,She loves listening to jazz.
jealous,3,嫉妒的,He was jealous of her success.
jeep,3,吉普車,They drove a jeep through the desert.
jelly,3,果凍,The children ate jelly for dessert.
jet,3,噴射機,The jet flew at high speed.
jewel,3,珠寶,She wore a beautiful jewel.
jewelry,3,總稱)珠寶,She keeps her jewelry in a box.
journey,3,旅行,The journey took three days.
joyful,3,高興的,It was a joyful celebration.
jungle,3,叢林,They explored the jungle.
junior,3,較年少者,He is a junior at high school.
junk,3,廢物；垃圾,The room was full of junk.
kangaroo,3,袋鼠,A kangaroo carries its baby in a pouch.
keyboard,3,鍵盤,My keyboard is not working.
kidney,3,腎,He has a kidney problem.
kindergarten,3,幼稚園,She teaches at a kindergarten.
kingdom,3,王國；王權,The kingdom was peaceful.
kit,3,所有的裝備,He bought a first-aid kit.
knight,3,騎士；爵士,The knight rode a white horse.
knit,3,編織；接合,She knitted a warm scarf.
knot,3,繩等的)結,He tied a tight knot.
label,3,標籤,Read the label before taking the medicine.
lace,3,鞋帶；花邊,She wore a dress with lace.
ladder,3,梯子,He climbed up the ladder.
lately,3,最近,I have not seen him lately.
laughter,3,笑,The room was full of laughter.
laundry,3,洗衣店,She took the clothes to the laundry.
lawn,3,草坪,He mows the lawn every week.
leak,3,漏,The roof began to leak.
leap,3,跳躍；舞,The frog made a big leap.
leather,3,皮革,This bag is made of leather.
leisure,3,空閒的,He enjoys reading in his leisure time.
lemonade,3,檸檬水,She made fresh lemonade.
liberty,3,自由,They fought for liberty.
lick,3,舐；(火)蔓延,The dog licked my hand.
lifetime,3,一生,He spent a lifetime helping others.
lightning,3,閃電；閃光,The lightning lit up the sky.
lily,3,百合花,The lily is a beautiful flower.
limb,3,肢；臂,He lost a limb in the war.
litter,3,雜物；垃圾,Do not drop litter on the street.
lively,3,有生氣的,The party was lively and fun.
loaf,3,一條麵包；遊蕩,She bought a loaf of bread.
lobby,3,門廊；休息室,We waited in the hotel lobby.
locate,3,使…座落於,The company is located in Taipei.
location,3,選定路線,The location of the house is perfect.
lock,3,鎖,Remember to lock the door.
log,3,原木,He put a log on the fire.
loose,3,鬆散的,The screw is loose.
lord,3,統治者,The lord owned the land.
loser,3,失敗者,He is a good loser.
lover,3,戀人,She is his lover.
luggage,3,行李,Please watch my luggage.
lung,3,肺,Smoking damages your lungs.
magical,3,魔法的,It was a magical moment.
magician,3,魔術師,The magician pulled a rabbit from his hat.
magnet,3,磁鐵,The magnet attracted the nails.
maid,3,少女,The maid cleaned the room.
majority,3,多數,The majority of students passed.
mall,3,大規模購物中心,We went to the mall to shop.
mankind/humankind,3,人類,Mankind has always dreamed of flying.
marble,3,大理石,The statue is made of marble.
march,3,三月,My birthday is in March.
marvelous,3,奇妙的,We had a marvelous time.
mathematical,3,數學的,He has a mathematical mind.
mayor,3,市長；鎮長,The mayor opened the new park.
meadow,3,草地,The sheep grazed in the meadow.
meaningful,3,意味深長的,It was a meaningful conversation.
meanwhile,3,其問；同時,Meanwhile I will prepare dinner.
medal,3,獎章；紀念章,She won a gold medal.
medium/media,3,中間；媒介,He is of medium height.
melon,3,甜瓜,The melon is sweet and juicy.
melt,3,融化,The ice will melt in the sun.
mental,3,精神的,He has a mental illness.
merry,3,歡樂的,We wish you a merry Christmas.
mess,3,紊亂,The room was in a mess.
microphone/mike,3,麥克風,Speak into the microphone.
microwave,3,微波,Heat the food in the microwave.
mighty,3,強大的；偉大的,The mighty river flows to the sea.
minus,3,負的,The temperature is minus five degrees.
miracle,3,奇蹟,It was a miracle that he survived.
misery,3,不幸；悲慘,The war caused great misery.
missile,3,飛彈,The missile hit the target.
missing,3,行蹤不明的,The missing child was found safe.
mission,3,使節團；使命,Their mission was to help the poor.
mist,3,霧；迷濛,The mountain was covered in mist.
mob,3,烏合之眾；無秩序的民眾,The mob gathered in the square.
mobile,3,易；汽車,He uses a mobile phone.
moist,3,潮溼的,Keep the cake moist.
moisture,3,溼氣；水份,The cream helps keep moisture in your skin.
monk,3,僧侶；修道士,The monk lives in a monastery.
monster,3,怪物,The child was afraid of monsters.
monthly,3,每月一次的,We have a monthly meeting.
moral,3,道德上的,It is a moral question.
mosquito,3,蚊,A mosquito bit my arm.
mostly,3,大部分,The students are mostly from Taiwan.
motel,3,汽車旅館,We stayed at a motel on the highway.
motor,3,馬達；原動力,The motor is not working.
murder,3,謀殺,He was arrested for murder.
muscle,3,肌肉,Exercise builds strong muscles.
mushroom,3,香茹；蘑蘋狀的束西,She added mushrooms to the soup.
mystery,3,神祕的事物,The mystery was never solved.
naked,3,裸體的,The baby was naked.
nap,3,打盹,He took a short nap.
napkin,3,餐巾,She put a napkin on her lap.
native,3,本國的,He is a native speaker of English.
navy,3,海軍,He joined the navy.
neat,3,整潔的,Her room is always neat.
necessity,3,必需；必需品,Water is a necessity of life.
necktie,3,領帶；領結,He wore a red necktie.
neighborhood,3,鄰近地區,We live in a quiet neighborhood.
nest,3,築巢,The bird built a nest in the tree.
nickname,3,綽號,His nickname is Shorty.
normal,3,正常的,His temperature is normal.
novelist,3,小說家,She is a famous novelist.
nun,3,修女；尼姑,The nun works in a hospital.
oak,3,橡樹,The oak tree is very old.
observe,3,觀察,The scientist observed the stars.
occasion,3,場合,It was a special occasion.
odd,3,奇特的；奇數的,He has an odd habit.
optimistic,3,樂觀的；有信心的,She is optimistic about the future.
organize,3,組織,They organized a party.
original,3,最初的；原著,This is the original painting.
outdoor,3,戶外的,They enjoy outdoor activities.
outdoors,3,在戶外,We had lunch outdoors.
outline,3,輪廓；綱要,He wrote an outline for his essay.
oven,3,烤箱,She baked a cake in the oven.
overseas,3,來自海外的,He studied overseas for two years.
owe,3,虧欠,I owe you ten dollars.
owl,3,貓頭鷹,The owl hunts at night.
ownership,3,所有權,The ownership of the land is unclear.
ox,3,公牛,The ox pulled the cart.
painter,3,畫家,He is a famous painter.
pal,3,夥伴,He is my old pal.
palace,3,宮殿,The palace is open to the public.
palm,3,棕櫚；椰子,The palm trees line the beach.
pancake,3,煎餅,She made pancakes for breakfast.
panic,3,恐慌,There was panic when the fire started.
parade,3,遊行,We watched the parade.
paradise,3,天堂,The island is a tropical paradise.
parrot,3,鸚鵡,The parrot can talk.
passage,3,通行,The passage was narrow.
passenger,3,乘客,The passenger sat by the window.
passion,3,熱情,She has a passion for music.
passport,3,護照,Do not forget your passport.
pat,3,拍,He patted the dog on the head.
patience,3,耐心,Teaching requires patience.
pause,3,暫停,He paused before answering.
pave(ment),3,鋪(用於被動),The road is paved with stones.
pea,3,豌豆,She ate peas for dinner.
peanut,3,花生,He is allergic to peanuts.
pearl,3,珍珠,The necklace is made of pearls.
peel,3,果皮；剝皮,She peeled an orange.
penguin,3,企鵝,The penguin lives in cold places.
penny,3,一分錢,He found a penny on the street.
pepper,3,胡椒粉,Add some salt and pepper.
perform,3,執行；演出,The band will perform tonight.
performance,3,成就；表演,Her performance was excellent.
permission,3,准許,You need permission to enter.
permit,3,許可,The rules do not permit smoking.
persuade,3,說服,She persuaded me to go.
photographer,3,攝影者,The photographer took many pictures.
pigeon,3,鵲子,A pigeon flew onto the roof.
pile,3,堆；疊,There is a pile of books on the desk.
pill,3,藥丸,Take one pill after meals.
pilot,3,飛行員；駕駛,The pilot landed the plane safely.
pine,3,松樹,The pine tree is green all year.
pineapple,3,鳳梨,Pineapple is a tropical fruit.
pint,3,品脫(液量名),He drank a pint of beer.
pit,3,坑；煤礦,They dug a deep pit.
pitch,3,瀝青,The road was covered with pitch.
pity,3,可惜,It is a pity you cannot come.
plastic,3,塑膠,Plastic bags are harmful to the environment.
plenty,3,大量,There is plenty of food for everyone.
plug,3,塞子,Put the plug in the socket.
pole,3,南極或北極,The North Pole is very cold.
political,3,政府的,He has strong political views.
politician,3,政治家,The politician gave a speech.
politics,3,政治活動,She is not interested in politics.
poll,3,民意調查,The poll showed a close race.
pollute,3,污染,Factories pollute the air.
pollution,3,污染,Air pollution is a serious problem.
portion,3,一部分,Give me a small portion of rice.
portrait,3,肖畫像,He painted a portrait of his wife.
poster,3,海報,She put a poster on the wall.
postpone(ment),3,延期,They postponed the meeting.
pottery,3,陶器,She makes pottery in her free time.
pour,3,灌 v.注 v.倒,Pour the milk into the glass.
poverty,3,貧窮,Many families live in poverty.
powder,3,粉末,Add the milk powder to water.
practical,3,實踐的,We need a practical solution.
precious,3,珍貴的,Diamonds are precious stones.
preparation,3,準備,The preparation took two hours.
presence,3,出席,Your presence is requested.
pretend,3,假裝,He pretended to be asleep.
prevent,3,預防,Eat well to prevent illness.
previous,3,以前的,He mentioned it in a previous letter.
probable,3,很可能的,It is probable that it will rain.
process,3,過程；加工,Learning is a slow process.
product,3,產品,This product is made in Taiwan.
professor,3,教授,The professor gave a lecture.
profit,3,利益；有益於,The company made a large profit.
promote,3,提升,He was promoted to manager.
pronounce,3,發音,How do you pronounce this word?
proof,3,證據,Do you have proof of purchase?
property,3,財產,He owns a lot of property.
pub,3,小酒館,We had a drink at the pub.
